domain,date,max_concurrents
ft.com,2016-01-30,4871
ft.com,2016-01-31,6251
ft.com,2016-02-01,28243
ft.com,2016-02-02,25894
ft.com,2016-02-03,23865
ft.com,2016-02-04,23382
ft.com,2016-02-05,20826
ft.com,2016-02-06,3746
ft.com,2016-02-07,4542
ft.com,2016-02-08,24638
ft.com,2016-02-09,24512
ft.com,2016-02-10,24662
ft.com,2016-02-11,24070
ft.com,2016-02-12,21763
ft.com,2016-02-13,4175
ft.com,2016-02-14,5990
ft.com,2016-02-15,26126
ft.com,2016-02-16,22443
ft.com,2016-02-17,22063
ft.com,2016-02-18,21203
ft.com,2016-02-19,20020
ft.com,2016-02-20,4170
ft.com,2016-02-21,5559
ft.com,2016-02-22,25453
ft.com,2016-02-23,23003
ft.com,2016-02-24,22417
ft.com,2016-02-25,20965
ft.com,2016-02-26,18589
ft.com,2016-02-27,3880
ft.com,2016-02-28,5764
ft.com,2016-02-29,23426
ft.com,2016-03-01,21842
ft.com,2016-03-02,21290
ft.com,2016-03-03,19964
ft.com,2016-03-04,18322
ft.com,2016-03-05,4342
ft.com,2016-03-06,6386
ft.com,2016-03-07,22843
ft.com,2016-03-08,20489
ft.com,2016-03-09,19927
ft.com,2016-03-10,21966
ft.com,2016-03-11,20166
ft.com,2016-03-12,3985
ft.com,2016-03-13,6715
ft.com,2016-03-14,25253
ft.com,2016-03-15,22177
ft.com,2016-03-16,23939
ft.com,2016-03-17,21217
ft.com,2016-03-18,19506
ft.com,2016-03-19,3897
ft.com,2016-03-20,5359
ft.com,2016-03-21,23494
ft.com,2016-03-22,23043
ft.com,2016-03-23,19636
ft.com,2016-03-24,17667
ft.com,2016-03-25,5849
